Year;GDPPerCapita
1960;427.877611680815
1961;448.956250574431
1962;471.877429983519
1963;510.983850650038
1964;485.30008912649
1965;516.28955542985
1966;566.533778255607
1967;625.715588697858
1968;708.260482122001
1969;812.261656433375
1970;925.281344224802
1971;1074.5090428025
1972;1370.68285531396
1973;1927.75842537393
1974;2359.28378605978
1975;2558.6623957134
1976;2647.52748989167
1977;2882.51571069435
1978;3425.56099991038
1979;4077.90010128239
1980;5003.88612333396
1981;5670.81958715417
1982;5997.94176423773
1983;6714.40365826947
1984;7155.44380290893
1985;6781.81764055694
1986;6864.24917344965
1987;7786.61394706761
1988;9316.38847676588
1989;10711.0339353581
1990;12766.1921112164
1991;14504.521923478
1992;16144.3285175754
1993;18302.3740819488
1994;21578.139470923
1995;24937.3131230818
1996;26262.284397898
1997;26386.61798288
1998;21824.086043512
1999;21796.380779552
2000;23793.0363650117
2001;21576.8698392825
2002;22016.7126711623
2003;23574.0025570507
2004;27404.5752387102
2005;29869.6327635758
2006;33578.88807132
2007;39223.5298636825
2008;39722.1150150725
2009;38576.9592330802
2010;46569.688541916
2011;53122.2497341027
2012;54578.17678341
2013;55979.7570491128
2014;56286.7994928393
2015;53224.269
2016;55509.402
2017;58664.982
2018;61941.655
2019;65311.265
2020;69276.449
